property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
house,unitech escape,sector 50,12,37037,5,6,3+,3,Moderately Old,3240,0,0,0,0,0,0,66,"28.4178° N, 77.0628° E",28.4178,77.0628
flat,ansal heights 86,sector 86,1.25,7396,3,2,1,11,New Property,1529,0,0,0,0,0,0,45,"28.3986° N, 76.9384° E",28.3986,76.9384
flat,emaar mgf emerald floors premier,sector 65,2.36,14303,3,3,3,2,Relatively New,1524,1,1,0,0,0,1,136,"28.4030° N, 77.0690° E",28.403,77.069
flat,ansal heights 86,sector 86,1.05,5541,3,3,3,9,Under Construction,1715,0,1,0,0,0,0,0,"28.3986° N, 76.9384° E",28.3986,76.9384
flat,ramshanti cooperative society,sector 52,1.76,7243,4,4,3+,12,New Property,2199,0,0,0,0,0,0,0,"28.4379° N, 77.0785° E",28.4379,77.0785
flat,bestech park view ananda,sector 81,1.1,6687,3,2,3+,5,Relatively New,1319,0,0,0,0,0,0,150,"28.3867° N, 76.9485° E",28.3867,76.9485
flat,sare crescent parc,sector 92,0.8,6033,3,2,2,3,Relatively New,1473,0,0,0,0,0,0,15,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,vatika emilia floors,sector 83,0.6,5714,2,2,2,1,Relatively New,990,0,0,0,0,0,1,167,"28.3986° N, 76.9647° E",28.3986,76.9647
flat,orris aster court,sector 85,0.93,5671,3,3,3,8,Relatively New,1587,0,0,0,0,0,0,0,"28.4042° N, 76.9513° E",28.4042,76.9513
house,eldeco mansionz,sector 48,6.4,23704,4,4,3,3,Moderately Old,2700,0,1,1,0,0,1,151,"28.4177° N, 77.0359° E",28.4177,77.0359
flat,emaar gurgaon greens,sector 102,1.45,8788,3,3,2,7,Relatively New,1493,0,1,0,0,0,1,169,"28.4750° N, 76.9715° E",28.475,76.9715
flat,ss the leaf,sector 85,1.18,10727,2,2,3,9,Relatively New,1700,1,0,0,0,0,1,150,"28.4042° N, 76.9513° E",28.4042,76.9513
house,rwa sector 46,sector 46,3.5,21605,4,4,2,2,Relatively New,1620,0,0,0,1,0,1,30,"28.4374° N, 77.0586° E",28.4374,77.0586
house,vatika india next,sector 83,1.7,7870,3,3,3+,4,New Property,2160,0,1,0,1,0,0,0,"28.3986° N, 76.9647° E",28.3986,76.9647
flat,sidhartha ncr one phase,sector 95,0.55,4867,2,2,2,14,New Property,1256,1,0,0,0,0,0,90,"28.4172° N, 76.9081° E",28.4172,76.9081
flat,shapoorji pallonji joyville gurugram,sector 102,0.96,10492,2,2,2,10,Relatively New,828,0,0,0,0,0,0,132,"28.4750° N, 76.9715° E",28.475,76.9715
flat,tulip ivory,sector 70,5,10417,6,7,3+,0,Relatively New,5333,1,1,0,0,0,0,119,"28.3968° N, 77.0233° E",28.3968,77.0233
house,independent,sector 5,0.55,5000,2,1,0,1,Relatively New,1100,0,0,0,0,0,0,0,"28.4794° N, 77.0176° E",28.4794,77.0176
flat,eldeco accolade,sector 33,1.2,8043,2,2,2,0,Under Construction,1492,0,0,0,0,0,0,56,"28.4420° N, 77.0207° E",28.442,77.0207
flat,m3m skywalk,sector 74,2.2,10902,3,3,3,12,New Property,1826,1,0,0,0,0,1,15,"28.4158° N, 77.0118° E",28.4158,77.0118
flat,umang winter hills,sector 77,1.35,7781,3,3,3+,7,New Property,1451,0,0,1,0,0,1,96,"28.3801° N, 76.9845° E",28.3801,76.9845
flat,godrej nature plus,sector 33,1.2,13363,2,2,0,11,Under Construction,85,0,0,0,0,0,0,56,"28.4420° N, 77.0207° E",28.442,77.0207
flat,signature global park 4,sector 36,0.72,6660,3,2,3,3,Under Construction,978,0,0,0,0,0,0,0,"28.4160° N, 76.9914° E",28.416,76.9914
house,independent,sector 12,0.7,6034,3,3,0,1,Relatively New,1160,0,0,0,0,0,0,23,"28.4723° N, 77.0320° E",28.4723,77.032
flat,tulip violet,sector 69,1.43,8888,3,3,2,1,Relatively New,1455,0,0,0,1,0,0,86,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,m3m golfestate,sector 65,5.2,17456,3,3,3,18,Relatively New,2696,1,1,0,0,0,1,76,"28.4030° N, 77.0690° E",28.403,77.069
flat,godrej oasis,sector 88a,1.3,7259,3,3,3+,4,Relatively New,1990,0,0,0,0,0,0,79,"28.4347° N, 76.9557° E",28.4347,76.9557
flat,tulip lemon,sector 69,0.62,12863,2,2,1,4,Relatively New,536,0,0,0,0,0,1,108,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,ramsons kshitij,sector 95,0.33,3910,2,2,1,14,New Property,694,0,0,0,0,1,1,79,"28.4172° N, 76.9081° E",28.4172,76.9081
flat,mittal surya vihar,sector 21,0.8,7080,2,2,2,6,Old Property,1256,0,0,0,0,0,0,0,"28.5134° N, 77.0723° E",28.5134,77.0723
flat,dlf royalton tower,sector 43,6.5,22109,4,5,2,8,Relatively New,2661,0,1,0,0,0,0,15,"28.4629° N, 77.0772° E",28.4629,77.0772
house,independent,sector 26,20,44444,5,7,3+,3,Relatively New,4500,0,1,0,1,0,2,97,"28.4757° N, 77.1032° E",28.4757,77.1032
flat,imperia the esfera,sector 37,0.86,5450,2,3,3,9,Relatively New,1442,1,0,0,0,1,0,49,"28.4375° N, 76.9999° E",28.4375,76.9999
house,independent,sector 2,6,20000,4,4,1,2,Relatively New,3000,0,0,0,0,0,0,0,"28.5095° N, 77.0320° E",28.5095,77.032
flat,m3m golfestate,sector 65,5.4,18127,3,4,3,19,Moderately Old,2696,1,1,0,0,0,1,174,"28.4030° N, 77.0690° E",28.403,77.069
flat,rof ananda,sector 95,0.26,6032,1,1,1,8,New Property,406,0,0,0,0,0,0,49,"28.4172° N, 76.9081° E",28.4172,76.9081
flat,sapphire eighty three,sector 83,0.65,9286,1,1,0,6,Relatively New,700,0,0,0,0,0,0,0,"28.3986° N, 76.9647° E",28.3986,76.9647
flat,emaar the palm drive,sector 66,3.9,18634,3,4,3,2,Relatively New,2200,0,0,0,0,0,0,0,"28.3925° N, 77.0541° E",28.3925,77.0541
house,independent,sector 7,3.1,13778,3,3,2,2,Old Property,2250,0,0,0,0,0,0,22,"28.4644° N, 77.0143° E",28.4644,77.0143
house,sobha city,sector 108,10.5,14323,5,4,3+,1,Relatively New,7331,0,0,0,0,0,0,59,"28.5134° N, 76.9830° E",28.5134,76.983
flat,godrej aria,sector 79,1,6653,2,2,2,4,Relatively New,1300,1,0,0,0,0,0,49,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,vatika independent floors,sector 82,1.16,6988,3,3,3+,1,Relatively New,1844,0,1,1,1,0,1,151,"28.3935° N, 76.9600° E",28.3935,76.96
flat,tata primanti,sector 72,5,11111,4,4,3+,2,Moderately Old,4500,1,1,0,1,1,1,174,"28.4225° N, 77.0211° E",28.4225,77.0211
house,independent,sector 38,4,21786,6,6,3+,4,Old Property,1836,1,1,0,1,1,1,137,"28.4347° N, 77.0430° E",28.4347,77.043
flat,m3m sierra 68,sector 68,1.2,9002,2,2,3,1,Relatively New,982,0,0,0,0,0,2,76,"28.3853° N, 77.0484° E",28.3853,77.0484
flat,dlf the skycourt,sector 86,1.58,8191,3,3,1,16,Relatively New,1750,0,0,0,1,0,1,152,"28.3986° N, 76.9384° E",28.3986,76.9384
flat,greenopolis,sector 89,0.8,4819,2,3,3,8,Under Construction,1502,1,0,0,0,1,0,60,"28.4253° N, 76.9439° E",28.4253,76.9439
flat,tulip violet,sector 69,1.4,8917,3,3,1,12,Relatively New,1419,0,0,0,1,0,0,86,"28.3966° N, 77.0341° E",28.3966,77.0341
house,independent,sector 2,1.15,19360,3,3,2,2,Old Property,594,0,0,0,0,0,1,32,"28.5095° N, 77.0320° E",28.5095,77.032
flat,guru gram haryana cghs,sector 56,1.39,7228,3,3,3,4,Moderately Old,1738,1,0,0,0,0,1,134,"28.4245° N, 77.0991° E",28.4245,77.0991
flat,pioneer araya,sector 62,9.2,19944,4,6,3,5,Relatively New,3867,0,1,0,1,0,1,156,"28.4139° N, 77.0886° E",28.4139,77.0886
flat,godrej frontier,sector 80,1.4,6189,3,4,2,10,Moderately Old,1854,0,0,1,1,0,0,111,"28.3659° N, 76.9557° E",28.3659,76.9557
flat,emaar mgf palm hills,sector 77,1.5,12744,3,3,3,4,Relatively New,1310,0,0,0,0,0,1,97,"28.3801° N, 76.9845° E",28.3801,76.9845
flat,signature global city 81,sector 81,0.8,14652,2,2,2,4,Under Construction,607,1,0,0,0,0,0,36,"28.3867° N, 76.9485° E",28.3867,76.9485
flat,raheja teachers apartments,sector 31,1.2,7273,3,2,2,1,Moderately Old,1450,0,0,0,0,1,2,105,"28.4528° N, 77.0498° E",28.4528,77.0498
house,independent,sector 23,5.5,21825,8,8,2,3,Moderately Old,2520,1,1,0,1,0,1,76,"28.5121° N, 77.0478° E",28.5121,77.0478
house,independent,sector 4,0.55,4074,3,3,2,2,Relatively New,1350,0,0,0,0,1,0,7,"28.4738° N, 77.0107° E",28.4738,77.0107
house,palam vihar extension west zone rwa,sector 2,0.65,5778,2,2,1,1,Moderately Old,1125,0,0,1,0,0,0,23,"28.5095° N, 77.0320° E",28.5095,77.032
flat,project krishna colony,sector 7,0.36,5143,2,2,1,0,Relatively New,700,0,0,0,0,0,0,0,"28.4644° N, 77.0143° E",28.4644,77.0143
flat,emaar mgf palm terraces select,sector 66,3.4,14108,4,4,3+,2,Relatively New,2210,0,1,0,0,0,1,157,"28.3925° N, 77.0541° E",28.3925,77.0541
flat,tulip violet,sector 69,1.92,15360,4,4,2,0,Relatively New,1389,0,0,0,0,0,0,174,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,today callidora,sector 73,1,7692,2,2,2,13,New Property,1444,0,0,0,0,0,0,0,"28.4072° N, 77.0118° E",28.4072,77.0118
flat,m3m sierra 68,sector 68,1.05,8537,2,2,2,11,New Property,1200,0,0,0,0,0,1,127,"28.3853° N, 77.0484° E",28.3853,77.0484
house,sushant lok 1 builder floors,sector 43,1.65,3395,4,4,3+,4,Moderately Old,540,0,0,0,0,1,2,49,"28.4629° N, 77.0772° E",28.4629,77.0772
flat,pareena coban residences,sector 99,1.4,7011,3,5,3+,6,New Property,1807,0,0,0,0,0,0,15,"28.4640° N, 76.9614° E",28.464,76.9614
flat,housing board colony,sector 51,0.3,7317,1,1,2,0,Old Property,459,0,0,0,0,0,0,0,"28.4320° N, 77.0686° E",28.432,77.0686
flat,m3m skycity,sector 65,1.8,13699,2,2,3,13,New Property,1456,0,0,0,0,0,0,73,"28.4030° N, 77.0690° E",28.403,77.069
flat,ardee city,sector 52,1.55,7381,4,4,3,1,Moderately Old,2100,0,0,0,0,0,0,0,"28.4379° N, 77.0785° E",28.4379,77.0785
flat,ireo the corridors,sector 67a,1.5,11111,2,2,2,10,Relatively New,1500,0,0,1,0,0,1,38,"28.3960° N, 77.0372° E",28.396,77.0372
flat,raheja vedaanta,sector 108,1.5,5263,3,4,0,12,Relatively New,2850,0,0,0,0,0,0,0,"28.5134° N, 76.9830° E",28.5134,76.983
flat,zara aavaas,sector 104,0.22,7309,1,2,2,2,New Property,335,0,0,0,0,0,0,60,"28.4788° N, 76.9960° E",28.4788,76.996
flat,godrej nature plus,sector 33,1.5,9677,3,3,3,6,Under Construction,1403,1,0,0,0,0,0,72,"28.4420° N, 77.0207° E",28.442,77.0207
flat,shri banke bihari society,sector 56,1.35,6750,3,3,3,5,Old Property,1800,0,0,0,0,1,1,82,"28.4245° N, 77.0991° E",28.4245,77.0991
flat,pareena coban residences,sector 99,1.05,6774,2,2,3,2,Relatively New,1390,1,0,0,0,0,0,49,"28.4640° N, 76.9614° E",28.464,76.9614
flat,tulip violet,sector 69,3.05,9664,4,5,3+,14,Relatively New,2856,0,1,0,0,1,0,49,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,ireo skyon,sector 60,3.75,13393,4,4,3,12,Relatively New,2650,0,1,0,0,0,1,49,"28.4003° N, 77.0975° E",28.4003,77.0975
flat,palam vihar society,sector 2,3.35,7444,4,4,3+,2,New Property,5000,1,0,0,0,0,0,66,"28.5095° N, 77.0320° E",28.5095,77.032
flat,emaar digihomes,sector 62,4.25,26562,3,3,3,8,Under Construction,1600,1,0,0,0,0,0,16,"28.4139° N, 77.0886° E",28.4139,77.0886
flat,maxworth city residences,sector 10,0.8,6400,2,3,2,9,New Property,1389,0,0,0,0,0,0,46,"28.4537° N, 77.0009° E",28.4537,77.0009
flat,sare crescent parc royal greens phase 1,sector 92,0.75,4325,4,4,3+,3,Relatively New,1734,0,0,0,0,0,0,93,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,tulip lemon,sector 69,0.6,11407,2,1,1,11,Relatively New,584,0,0,0,0,0,0,0,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,unitech fresco,sector 50,1.82,9913,3,3,3+,14,Moderately Old,1830,0,0,0,0,1,1,174,"28.4178° N, 77.0628° E",28.4178,77.0628
flat,shapoorji pallonji joyville gurugram,sector 102,1.95,13929,3,3,3,6,New Property,1616,0,0,0,1,0,1,174,"28.4750° N, 76.9715° E",28.475,76.9715
house,independent,sector 105,1.15,3285,3,2,1,1,Moderately Old,3889,0,0,0,0,0,0,0,"28.4952° N, 77.0114° E",28.4952,77.0114
flat,vatika city homes,sector 83,0.8,6061,2,2,2,8,Moderately Old,1195,0,0,1,0,0,0,22,"28.3986° N, 76.9647° E",28.3986,76.9647
house,dlf city plots phase 4,sector 28,9.54,29444,6,5,3+,3,New Property,3240,1,1,1,1,0,0,153,"28.4728° N, 77.0865° E",28.4728,77.0865
flat,kiran residency,sector 56,1.5,6649,3,5,3+,4,Moderately Old,2250,1,0,0,1,0,1,134,"28.4245° N, 77.0991° E",28.4245,77.0991
flat,ss the leaf,sector 85,1.58,7715,3,4,3,8,Relatively New,2227,0,1,0,0,0,0,159,"28.4042° N, 76.9513° E",28.4042,76.9513
flat,orris aster court premier,sector 85,1.25,5896,3,4,2,6,Relatively New,1616,0,1,0,0,0,1,49,"28.4042° N, 76.9513° E",28.4042,76.9513
flat,signature global city 92,sector 92,0.78,11143,2,2,3,2,Under Construction,846,0,0,0,0,1,0,24,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,sare crescent parc,sector 92,0.65,4597,3,3,3,3,Moderately Old,1571,0,0,0,0,0,0,44,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,experion windchants,sector 112,5.31,11205,4,6,3+,15,Relatively New,3573.33,0,1,0,1,0,0,72,"28.5189° N, 77.0183° E",28.5189,77.0183
flat,tata primanti,sector 72,4.1,14099,4,5,3+,39,New Property,2629,0,1,0,0,1,0,103,"28.4225° N, 77.0211° E",28.4225,77.0211
flat,shapoorji pallonji joyville gurugram,sector 102,1.26,10370,2,2,3,7,Relatively New,1100,0,0,0,0,0,1,49,"28.4750° N, 76.9715° E",28.475,76.9715
flat,paras quartier,gwal pahari,5.9,11028,4,4,3+,0,Moderately Old,5350,0,0,0,0,0,0,63,"28.4484° N, 77.0210° E",28.4484,77.021
flat,ansal sushant lok ci,sector 43,2,15152,3,3,2,1,Old Property,1467,0,1,0,0,0,2,15,"28.4629° N, 77.0772° E",28.4629,77.0772
flat,dlf the skycourt,sector 86,1.6,8294,3,3,3+,9,Relatively New,1548,0,0,0,0,1,1,167,"28.3986° N, 76.9384° E",28.3986,76.9384
house,independent,sector 49,4.5,15625,8,8,3,3,Moderately Old,2880,1,1,1,1,0,2,151,"28.4121° N, 77.0480° E",28.4121,77.048
flat,imperia aashiyara,sector 37,0.4,5882,2,2,3,3,Under Construction,756,0,0,0,0,0,0,126,"28.4375° N, 76.9999° E",28.4375,76.9999
house,independent,sector 36,0.66,7166,2,2,3,4,New Property,823,0,0,0,0,0,0,0,"28.4160° N, 76.9914° E",28.416,76.9914
flat,conscient elevate,sector 59,3.9,16993,3,1,0,0,Under Construction,2295,0,0,0,0,0,0,0,"28.4051° N, 77.1097° E",28.4051,77.1097
flat,pivotal devaan,sector 84,0.35,7277,2,2,1,10,Relatively New,531,0,0,1,0,0,0,103,"28.3979° N, 76.9736° E",28.3979,76.9736
flat,the lions cghs,sector 56,1.99,11056,4,4,3+,4,Old Property,2000,0,0,0,1,1,1,105,"28.4245° N, 77.0991° E",28.4245,77.0991
flat,supertech araville,sector 79,0.71,6063,2,2,3+,17,New Property,1280,0,0,0,0,1,0,53,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,godrej summit,sector 104,0.85,5878,2,2,3+,10,Relatively New,1269,1,0,0,0,0,0,79,"28.4788° N, 76.9960° E",28.4788,76.996
house,independent,sector 7,6.5,15046,3,2,3+,2,Old Property,4320,0,0,0,0,0,0,9,"28.4644° N, 77.0143° E",28.4644,77.0143
flat,aipl joy square,sector 63a,0.7,10101,1,1,0,7,Under Construction,693,0,0,0,0,0,0,0,"28.3923° N, 77.0888° E",28.3923,77.0888
house,ss hibiscus,sector 50,12.25,20940,5,7,3+,1,Relatively New,5850,1,1,0,1,1,1,160,"28.4178° N, 77.0628° E",28.4178,77.0628
flat,m3m sky lofts,sector 71,1,11494,1,1,1,9,Moderately Old,869,0,0,0,0,0,0,77,"28.4104° N, 77.0281° E",28.4104,77.0281
flat,m3m urbana,sector 67,0.95,10894,1,1,1,17,Relatively New,826,0,0,0,0,0,0,49,"28.3859° N, 77.0608° E",28.3859,77.0608
house,independent,sector 15,1.07,11889,2,2,1,1,Old Property,900,0,1,0,0,0,0,7,"28.4621° N, 77.0464° E",28.4621,77.0464
flat,pyramid urban homes 2,sector 86,0.5,9615,2,2,1,10,Relatively New,578,0,0,0,0,0,0,15,"28.3986° N, 76.9384° E",28.3986,76.9384
flat,dlf the crest,sector 54,11,35484,4,5,3+,7,Relatively New,3444,1,1,0,1,0,0,49,"28.4348° N, 77.1089° E",28.4348,77.1089
flat,adani brahma samsara vilasa,sector 63,3,16667,3,3,3,3,New Property,2000,0,0,0,0,0,0,24,"28.3971° N, 77.0867° E",28.3971,77.0867
flat,shree vardhman victoria,sector 70,1.55,7949,3,5,3,8,Relatively New,1527,0,1,0,0,0,0,174,"28.3968° N, 77.0233° E",28.3968,77.0233
flat,ats triumph,sector 104,1.75,7642,3,4,3+,11,Relatively New,2072,0,1,0,0,0,0,110,"28.4788° N, 76.9960° E",28.4788,76.996
house,independent,sector 10,4.25,17955,4,3,2,1,Moderately Old,2367,0,0,0,0,0,0,0,"28.4537° N, 77.0009° E",28.4537,77.0009
flat,pooja apartment,sector 5,0.25,3571,2,2,2,2,Relatively New,778,0,0,0,0,0,0,0,"28.4794° N, 77.0176° E",28.4794,77.0176
flat,godrej aria,sector 79,1.95,8519,3,4,3+,10,New Property,1659,0,1,0,0,0,0,32,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,parsvnath green ville,sector 48,3.3,9985,5,5,3+,4,Old Property,3305,0,1,0,0,0,0,71,"28.4177° N, 77.0359° E",28.4177,77.0359
flat,mittal cosmos executive apartments,sector 2,0.75,6550,2,2,2,15,Old Property,1100,0,0,0,0,0,1,42,"28.5095° N, 77.0320° E",28.5095,77.032
flat,ramprastha the edge towers,sector 37d,1.1,5528,3,3,3,9,Relatively New,1990,0,0,0,0,0,0,63,"28.4478° N, 76.9703° E",28.4478,76.9703
flat,shree vardhman victoria,sector 70,1.6,8205,3,5,3,6,Relatively New,1527,0,1,0,0,0,0,108,"28.3968° N, 77.0233° E",28.3968,77.0233
house,arjun marg/ sector- 26 phase- 1/ golf course road,sector 26,31.5,35000,7,9,3+,3,Moderately Old,9000,1,1,1,1,0,2,74,"28.4757° N, 77.1032° E",28.4757,77.1032
flat,m3m woodshire,sector 107,0.9,5867,2,2,3,8,Relatively New,1281,1,0,0,0,0,1,74,"28.5052° N, 76.9729° E",28.5052,76.9729
flat,bptp terra,sector 37d,1.78,8124,4,3,3,10,Relatively New,1983,0,1,0,0,0,0,127,"28.4478° N, 76.9703° E",28.4478,76.9703
flat,shapoorji pallonji joyville gurugram,sector 102,1.8,10638,3,3,3,1,Relatively New,1531,0,0,0,0,0,0,141,"28.4750° N, 76.9715° E",28.475,76.9715
flat,m3m merlin,sector 67,3.39,14377,3,4,3,14,Relatively New,2100,0,1,0,0,0,1,26,"28.3859° N, 77.0608° E",28.3859,77.0608
flat,adani aangan galleria,sector 89,0.42,4941,2,2,2,3,Relatively New,769,0,0,0,0,0,0,0,"28.4253° N, 76.9439° E",28.4253,76.9439
flat,conscient heritage max,sector 102,1.78,9218,3,4,3+,5,Moderately Old,1748,0,1,0,0,0,0,125,"28.4750° N, 76.9715° E",28.475,76.9715
flat,paras dews,sector 106,1.25,7102,3,4,3+,5,Relatively New,1186,0,1,0,0,0,0,165,"28.5007° N, 77.0003° E",28.5007,77.0003
flat,sbtl caladium,sector 109,1.26,6542,3,2,3,8,Relatively New,1701,0,0,0,0,0,0,103,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,new sathi apartments,sector 54,1.59,7067,3,3,3+,3,Moderately Old,2250,1,0,0,0,0,1,127,"28.4348° N, 77.1089° E",28.4348,77.1089
flat,emaar palm gardens,sector 83,1.8,9474,3,4,3,4,Relatively New,1551,1,1,1,1,0,1,174,"28.3986° N, 76.9647° E",28.3986,76.9647
house,independent,sector 14,6.46,18889,5,5,2,3,Moderately Old,3420,1,1,0,1,0,1,27,"28.4711° N, 77.0454° E",28.4711,77.0454
flat,godrej aria,sector 79,1.3,8844,2,2,2,7,Relatively New,1330,1,0,0,0,0,1,116,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,ss almeria,sector 84,1.5,7500,3,3,3,2,New Property,1849,0,1,0,0,0,0,108,"28.3979° N, 76.9736° E",28.3979,76.9736
house,independent,sector 105,1.2,13333,4,4,1,2,Moderately Old,900,0,0,0,0,1,0,14,"28.4952° N, 77.0114° E",28.4952,77.0114
flat,birla navya,sector 63a,2.2,17488,2,3,3+,4,Under Construction,997,0,0,0,0,0,0,60,"28.3923° N, 77.0888° E",28.3923,77.0888
flat,pyramid urban,sector 67a,0.6,8571,2,2,2,14,New Property,633,0,0,0,0,0,0,15,"28.3960° N, 77.0372° E",28.396,77.0372
flat,ireo the grand arch,sector 58,3.8,17560,3,4,1,19,Moderately Old,2164,0,1,0,0,0,1,167,"28.4200° N, 77.1105° E",28.42,77.1105
flat,unitech vistas,sector 70,0.99,6326,3,4,2,11,Under Construction,1416,0,0,0,0,0,0,0,"28.3968° N, 77.0233° E",28.3968,77.0233
flat,mapsko mount ville,sector 79,1.3,8025,3,3,2,6,Relatively New,1215,1,0,0,1,0,0,151,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,orchid island,sector 51,0.71,7889,2,2,1,4,Relatively New,1007,0,0,0,0,0,0,23,"28.4320° N, 77.0686° E",28.432,77.0686
flat,ramprastha the edge towers,sector 37d,1,5650,3,3,3+,13,Moderately Old,1602,0,0,0,0,0,0,38,"28.4478° N, 76.9703° E",28.4478,76.9703
flat,smart world orchard,sector 61,1.6,13913,2,2,2,4,New Property,1278,1,0,0,0,1,0,29,"28.4050° N, 77.0963° E",28.405,77.0963
flat,godrej oasis,sector 88a,1.29,7799,3,3,3,5,New Property,1642,1,0,0,0,1,0,65,"28.4347° N, 76.9557° E",28.4347,76.9557
flat,supertech hues,sector 68,1,8475,2,2,2,12,New Property,1311,0,0,0,0,0,0,54,"28.3853° N, 77.0484° E",28.3853,77.0484
house,independent,sector 8,0.82,10224,2,4,0,2,Moderately Old,891,0,0,0,0,0,0,0,"28.3738° N, 76.8970° E",28.3738,76.897
flat,puri emerald bay,sector 104,2.45,10000,3,4,3+,14,Relatively New,2131,0,1,0,0,0,1,56,"28.4788° N, 76.9960° E",28.4788,76.996
flat,emaar palm gardens,sector 83,1.76,9263,3,3,3,6,Relatively New,1500,0,1,0,0,0,1,165,"28.3986° N, 76.9647° E",28.3986,76.9647
flat,m3m skywalk,sector 74,1.6,11380,2,2,2,28,New Property,1272,0,0,0,0,0,0,15,"28.4158° N, 77.0118° E",28.4158,77.0118
flat,raheja atharva,sector 109,0.79,7932,3,2,2,3,Relatively New,1213,0,0,0,0,0,1,44,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,ansal heights 86,sector 86,1.3,4666,4,6,2,11,New Property,2521,0,1,0,0,1,0,86,"28.3986° N, 76.9384° E",28.3986,76.9384
flat,m3m skywalk,sector 74,2.25,12500,3,3,3,5,Relatively New,1900,1,0,0,0,0,0,174,"28.4158° N, 77.0118° E",28.4158,77.0118
flat,vipul lavanya,sector 81,0.75,5967,2,2,2,7,Moderately Old,1397,0,0,0,0,0,0,37,"28.3867° N, 76.9485° E",28.3867,76.9485
flat,tulip violet,sector 69,3.1,9823,4,6,3+,14,Relatively New,2817,0,1,0,1,0,0,174,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,tata primanti,sector 72,4.1,13726,3,3,3,8,Moderately Old,2308,0,1,0,0,0,0,38,"28.4225° N, 77.0211° E",28.4225,77.0211
flat,emaar imperial gardens,sector 102,1.98,9900,3,3,3+,9,Relatively New,2222,0,1,0,0,0,1,72,"28.4750° N, 76.9715° E",28.475,76.9715
flat,m3m heights,sector 65,2.44,13297,3,3,2,7,Under Construction,1654,0,0,0,0,0,0,31,"28.4030° N, 77.0690° E",28.403,77.069
flat,allure homes,sector 12,0.72,7273,2,2,1,2,Relatively New,1100,0,0,0,0,1,1,16,"28.4723° N, 77.0320° E",28.4723,77.032
flat,emaar mgf the palm drive,sector 66,2.99,14950,3,3,3,7,Relatively New,2000,0,1,0,0,0,1,49,"28.3925° N, 77.0541° E",28.3925,77.0541
flat,bptp terra,sector 37d,1.49,8107,3,3,3,20,Relatively New,1707,0,0,0,0,1,0,49,"28.4478° N, 76.9703° E",28.4478,76.9703
flat,tulip purple,sector 69,2.6,10833,4,4,3+,4,Moderately Old,2172,0,1,0,0,0,0,37,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,emaar mgf emerald floors premier,sector 65,2,12121,3,3,3,1,Relatively New,1833,0,1,0,0,0,1,124,"28.4030° N, 77.0690° E",28.403,77.069
house,ardee city,sector 52,5.5,20370,9,9,3+,3,Moderately Old,2700,0,1,0,1,1,1,26,"28.4379° N, 77.0785° E",28.4379,77.0785
flat,millenia,sector 37,0.4,6667,2,2,2,4,New Property,667,0,0,0,0,0,0,29,"28.4375° N, 76.9999° E",28.4375,76.9999
flat,shree vardhman flora,sector 90,0.92,4718,3,3,2,6,Relatively New,2167,1,0,0,0,0,1,49,"28.4085° N, 76.9369° E",28.4085,76.9369
flat,suncity vatsal valley,gwal pahari,1.53,10699,3,3,3,2,New Property,1589,0,0,0,0,0,1,117,"28.4484° N, 77.0210° E",28.4484,77.021
flat,paras dews,sector 106,0.88,6354,2,2,3+,3,Relatively New,1120,0,0,0,0,0,0,49,"28.5007° N, 77.0003° E",28.5007,77.0003
flat,bptp amstoria,sector 102,1.9,8444,3,3,3+,1,Relatively New,2500,0,1,0,0,0,0,174,"28.4750° N, 76.9715° E",28.475,76.9715
house,independent,sector 46,5.65,23870,8,6,3+,3,Moderately Old,2367,0,1,0,0,0,1,67,"28.4374° N, 77.0586° E",28.4374,77.0586
flat,signature global orchard avenue,sector 93,0.4,5479,2,2,0,0,Relatively New,730,0,0,0,0,0,0,0,"28.4153° N, 76.9326° E",28.4153,76.9326
house,independent,sector 24,5.25,38889,4,4,3+,2,Relatively New,1350,0,1,0,1,0,1,72,"28.4939° N, 77.1038° E",28.4939,77.1038
flat,ireo victory valley,sector 67,3.05,16267,3,4,2,35,Relatively New,2200,1,1,0,0,0,1,165,"28.3859° N, 77.0608° E",28.3859,77.0608
flat,m3m skywalk,sector 74,1.6,9512,2,2,2,26,Relatively New,1508,0,0,0,0,0,1,158,"28.4158° N, 77.0118° E",28.4158,77.0118
